paper_id,title,authors,year,venue,doi,peer_reviewed,category,subcategory,relevance_to_my_phd,research_problem,method,network_layer,ai_method,optimization_method,evaluation_quality,reproducibility_quality,potential_followup,source_url
M12,BLEST: Blocking estimation-based MPTCP scheduler for heterogeneous networks,Simone Ferlin; Ozgu Alay; Olivier Mehani; Roksana Boreli,2016,2016 IFIP Networking Conference (IFIP Networking) and Workshops,10.1109/ifipnetworking.2016.7497206,Yes,Other,Other,HIGH,BLEST is the classical reordering-aware baseline that any learning-based scheduler must beat - and the natural comparison point for a DRL/LLM scheduler that must also respect network-level objectives.,"Blocking-estimation heuristic (compute, for each subflow, the delay it would impose on the next in-order segment; penalise accordingly)",Sender-side MPTCP scheduler (kernel),LLM; DRL,NA,WEAK,MODERATE,BLEST is the classical reordering-aware baseline that any learning-based scheduler must beat - and the natural comparison point for a DRL/LLM scheduler that must also respect network-level objectives.,https://doi.org/10.1109/IFIPNetworking.2016.7492955
M13,ECF: An MPTCP Path Scheduler to Manage Heterogeneous Paths,Reza Poorzare; Oliver P. Waldhorst,2017,Proceedings of the 13th International Conference on emerging Networking EXperiments and Technologies (ACM CoNEXT),10.1145/3143361.3143376,Yes,Other,Other,MEDIUM,"Along with BLEST, ECF defines the classical state of the art that learning-based schedulers are benchmarked against - useful as a baseline in a PhD evaluation.",ECF heuristic (penalise the best path by the RTT difference and track per-path in-flight/receive-buffer state),Sender-side MPTCP scheduler (kernel),NA,NA,WEAK,MODERATE,"Along with BLEST, ECF defines the classical state of the art that learning-based schedulers are benchmarked against - useful as a baseline in a PhD evaluation.",https://doi.org/10.1145/3143361.3143379
M14,Peekaboo: Learning-Based Multipath Scheduling for Dynamic Heterogeneous Environments,Hongjia Wu; Ozgu Alay; Anna Brunstrom; Simone Ferlin; Giuseppe Caso,2020,IEEE Journal on Selected Areas in Communications,10.1109/jsac.2020.3000365,Yes,Other,Other,HIGH,"Peekaboo is the closest classical work to 'learning scheduler', yet it never receives an objective from the network. Supplying objectives from an orchestrator (and proving SLA benefit) is the open step.",LinUCB contextual bandit selecting the scheduling action from observed path context,Sender-side MPTCP scheduler (kernel implementation with a learning component),No AI method,NA,STRONG,MODERATE,"Peekaboo is the closest classical work to 'learning scheduler', yet it never receives an objective from the network. Supplying objectives from an orchestrator (and proving SLA benefit) is the open step.",https://doi.org/10.1109/JSAC.2020.3000413
M21,CMT-QA: Quality-Aware Adaptive Concurrent Multipath Data Transfer in Heterogeneous Wireless Networks,Changqiao Xu; Tianjiao Liu; Jianfeng Guan; Hongke Zhang; Gabriel-Miro Muntean,2013,IEEE Transactions on Mobile Computing,10.1109/TMC.2012.189,Yes,Other,Other,MEDIUM,Historical baseline for quality-aware multipath scheduling; its objective set (goodput vs reordering) is the same trade-off that modern AI schedulers must handle.,Quality-aware adaptive scheduling heuristic,Sender-side transport (CMT/SCTP),No AI method,NA,MODERATE,WEAK,Historical baseline for quality-aware multipath scheduling; its objective set (goodput vs reordering) is the same trade-off that modern AI schedulers must handle.,https://doi.org/10.1109/TMC.2012.196
M22,Bandwidth-Efficient Multipath Transport Protocol for Quality-Guaranteed Real-Time Video Over Heterogeneous Wireless Networks,Jiyan Wu; Chau Yuen; Bo Cheng; Yuan Yang; Ming Wang; Junliang Chen,2016,IEEE Transactions on Communications,10.1109/tcomm.2016.2553138,Yes,Other,Other,HIGH,Shows that multipath scheduling can carry application-level objectives; extending that to network-level (slice/SLA) objectives via an orchestrator is unexplored here.,Quality-guaranteed scheduling with bandwidth-efficiency optimisation,Sender-side transport with application-aware scheduling,NA,NA,WEAK,WEAK,Shows that multipath scheduling can carry application-level objectives; extending that to network-level (slice/SLA) objectives via an orchestrator is unexplored here.,https://doi.org/10.1109/TCOMM.2016.2539169
M23,"Tokens, Not Packets: Rethinking the Multipath QUIC Scheduling Interface",Hendrik Cech; Patrick Bokelmann; Nitinder Mohan,2026,Proceedings of the 2026 Applied Networking Research Workshop,10.1145/3822163.3827925,Yes,Other,Other,HIGH,Directly relevant: a token/flow-level interface is precisely what an orchestrator or LLM agent would need in order to express network-level objectives to a multipath scheduler.,Interface redesign with measurement of existing schedulers,Sender-side MPQUIC scheduling interface,LLM; Agent,NA,WEAK,WEAK,Directly relevant: a token/flow-level interface is precisely what an orchestrator or LLM agent would need in order to express network-level objectives to a multipath scheduler.,https://doi.org/10.1145/3735358.3735390
M24,A Stream-Aware Multipath QUIC Scheduler for Heterogeneous Paths,Alexander Rabitsch; Per Hurtig; Anna Brunstrom,2018,"Proceedings of the Workshop on the Evolution, Performance, and Interoperability of QUIC",NA,Yes,Other,Other,HIGH,Supports the argument that schedulers need richer (flow/stream) context - the same context an LLM agent could reason about.,Stream-aware scheduling heuristic,Sender-side MPQUIC scheduler,LLM; Agent,NA,WEAK,MODERATE,Supports the argument that schedulers need richer (flow/stream) context - the same context an LLM agent could reason about.,https://doi.org/10.1145/3229543.3229550
M27,"A Survey on Multipath Transport Protocols Towards 5G Access Traffic Steering, Switching and Splitting",Hongjia Wu; Simone Ferlin; Giuseppe Caso; Ozgu Alay; Anna Brunstrom,2021,IEEE Access,10.1109/ACCESS.2021.3134261,Yes,Other,Other,MEDIUM,Surveys multipath transport protocols and their suitability for 5G ATSSS.,N/A - survey,NA,NA,NA,NA,WEAK,"Establishes the ATSSS context that a 5G multipath scheduler must plug into, and shows that AI-based ATSSS decision-making is still largely open.",https://doi.org/10.1109/ACCESS.2021.3118593
M28,Multipath QUIC for Access Traffic Steering Switching and Splitting in 5G Advanced,Apostolis K. Salkintzis; Mirja Kühlewind; Stefan Rommer; Rainer Liebhart,2023,IEEE Communications Standards Magazine,10.1109/MCOMSTD.0006.2200056,Yes,Other,Other,HIGH,Directly relevant: ATSSS is the 5G-core hook where a multipath scheduler meets network policy. The policy engine that would drive it with AI/LLM objectives is absent.,MPQUIC-based ATSSS with policy-driven steering,UE and UPF sides of the ATSSS architecture (MPQUIC endpoints),LLM,NA,WEAK,WEAK,Directly relevant: ATSSS is the 5G-core hook where a multipath scheduler meets network policy. The policy engine that would drive it with AI/LLM objectives is absent.,https://doi.org/10.1109/MCOMSTD.0001.2200069
M29,Cost optimized multipath scheduling in 5G for Video-on-Demand traffic,Markus Amend; Veselin Rakocevic; Joachim Habermann,2021,2021 IEEE Wireless Communications and Networking Conference (WCNC),10.1109/wcnc49053.2021.9417415,Yes,Other,Other,HIGH,Cost/SLA trade-offs in multipath are exactly what an orchestrator would optimise; the coupling of multipath decisions to orchestration objectives is not addressed.,Cost-optimised scheduling (optimisation-based),Network/UE multipath scheduler,NA,NA,WEAK,WEAK,Cost/SLA trade-offs in multipath are exactly what an orchestrator would optimise; the coupling of multipath decisions to orchestration objectives is not addressed.,https://doi.org/10.1109/WCNCW49093.2021.9419978
M30,GCLR: GNN-Based Cross Layer Optimization for Multipath TCP by Routing,Ting Zhu; Xiaohui Chen; Li Chen; Weidong Wang; Guo Wei,2020,IEEE Access,NA,Yes,Other,Other,HIGH,Shows learning can inform the path layer of multipath transport; combining that with a learned scheduler under orchestrator objectives is still open.,Graph neural network predicting path performance + routing optimisation,Cross-layer: routing decision coupled to the MPTCP scheduler,No AI method,NA,MODERATE,WEAK,Shows learning can inform the path layer of multipath transport; combining that with a learned scheduler under orchestrator objectives is still open.,https://doi.org/10.1109/ACCESS.2020.3041819
M34,Multipath TCP Meets Reinforcement Learning: A Novel Energy-Efficient Scheduling Approach in Heterogeneous Wireless Networks,Pingping Dong; Rongcheng Shen; Qian Wang; Yuning Zuo; Yajing Li; Dian Zhang; Lianming Zhang; Wenjun Yang,2023,IEEE Wireless Communications,10.1109/mwc.013.2100658,Yes,Other,Other,HIGH,Energy is a first-class objective for 6G; an orchestrator-level energy objective driving multipath selection is not addressed in this line of work.,Reinforcement learning (exact variant per the paper),Sender-side MPTCP scheduler with an RL agent,Agent; DRL,NA,WEAK,WEAK,Energy is a first-class objective for 6G; an orchestrator-level energy objective driving multipath selection is not addressed in this line of work.,https://doi.org/10.1109/MWC.001.2200486
M38,DAPS: Intelligent delay-aware packet scheduling for multipath transport,Nicolas Kuhn; Emmanuel Lochin; Ahlem Mifdaoui; Golam Sarwar; Olivier Mehani; Roksana Boreli,2014,2014 IEEE International Conference on Communications (ICC),10.1109/ICC.2014.6883488,Yes,Other,Other,MEDIUM,One of the earliest delay-aware MPTCP schedulers and a standard baseline for latency-oriented multipath work.,DAPS heuristic (compare estimated delivery times across subflows),Sender-side MPTCP scheduler,NA,NA,WEAK,WEAK,One of the earliest delay-aware MPTCP schedulers and a standard baseline for latency-oriented multipath work.,https://doi.org/10.1109/icc.2014.6883488
L01,NetConfEval: Can LLMs Facilitate Network Configuration?,Changjie Wang; Mariano Scazzariello; Alireza Farshin; Simone Ferlin; Dejan Kostić; Marco Chiesa,2024,Proceedings of the ACM on Networking,10.1145/3656296,Yes,Other,Other,LOW,"Benchmarking LLMs on network configuration: synthesising configurations from requirements, translating configurations across vendors, specifying routing algorithms, and configuration repair",NA,Network configuration,LLM,NA,WEAK,STRONG,Network-configuration correctness is now benchmarked; the resulting network behaviour is not.,https://doi.org/10.1145/3656296
L02,"Large Language Models for Networking: Applications, Enabling Techniques, and Challenges",Yudong Huang; Hongyang Du; Xinyuan Zhang; Dusit Niyato; Jiawen Kang; Zehui Xiong; Shuo Wang; Tao Huang,2025,IEEE Network,10.1109/mnet.2024.3435752,Yes,Other,Other,HIGH,"Survey of LLM applications, enabling techniques and challenges in networking",NA,Networking (general),LLM,NA,NA,WEAK,Provides the task taxonomy used in this review and confirms that closed-loop control is under-explored.,https://doi.org/10.1109/mnet.2024.3435752
L03,Mobile-LLaMA: Instruction Fine-Tuning Open-Source LLM for Network Analysis in 5G Networks,Khen Bo Kan; Hyunsu Mun; Guohong Cao; Youngseok Lee,2024,IEEE Network,10.1109/mnet.2024.3421306,Yes,Other,Other,HIGH,"Instruction fine-tuning an open-source LLM for 5G network analysis (packet analysis, IP routing, performance analysis code generation)",Full instruction fine-tuning (SFT) with self-instruct data expansion,5G network analysis,LLM,NA,WEAK,STRONG,"The canonical demonstration that a fine-tuned open LLM can outperform a general-purpose model on a 5G analysis task - but the task is offline analysis, not action selection under a latency budget.",https://doi.org/10.1109/mnet.2024.3421306
L04,TelecomGPT: A Framework to Build Telecom-Specific Large Language Models,Hang Zou; Qiyang Zhao; Yu Tian; Lina Bariah; Faouzi Bader; Thierry Lestable; Merouane Debbah,2025,IEEE Transactions on Machine Learning in Communications and Networking,10.1109/tmlcn.2025.3593184,Yes,Other,Other,HIGH,"Building a telecom-specific LLM (three-stage recipe) and evaluating on telecom maths, QA and code tasks","Three stages: continual pre-training (causal LM), instruction tuning (SFT), alignment tuning via DPO",Telecommunications (general),LLM,NA,WEAK,WEAK,"A well-documented domain-adaptation recipe, but the evaluation never touches a network. The 'does fine-tuning improve network-management performance?' question is left open by this paper.",https://doi.org/10.1109/tmlcn.2025.3593184
L05,NetLLM: Adapting Large Language Models for Networking,Duo Wu; Xianda Wang; Yaqi Qiao; Zhi Wang; Junchen Jiang; Shuguang Cui; Fangxin Wang,2024,Proceedings of the ACM SIGCOMM 2024 Conference,10.1145/3651890.3672268,Yes,Other,Other,HIGH,"Adapting large language models to networking tasks (NetLLM), covering viewport prediction for video streaming and adaptive bitrate, link scheduling in wireless networks, and cluster job scheduling",NA,"Networking (multimodal: video streaming, wireless scheduling, cuOpt)",LLM; Agent,NA,MODERATE,STRONG,NetLLM established the 'adapt an LLM to a networking task' pattern; what is missing is a single model that acts on network state in a closed loop and is scored on service outcomes.,https://doi.org/10.1145/3651890.3672268
L06,Large Language Models for Zero Touch Network Configuration Management,Oscar G. Lira; Oscar M. Caicedo; Nelson L. S. da Fonseca,2025,IEEE Communications Magazine,10.1109/mcom.001.2400368,Yes,Other,Other,LOW,Using LLMs for zero-touch network configuration management,NA,Zero-touch network configuration management,LLM,NA,WEAK,WEAK,Configuration generation is the most mature LLM-for-networking application; verification and rollback safety remain open.,https://doi.org/10.1109/mcom.001.2400368
L07,LLM-xApp: A Large Language Model Empowered Radio Resource Management xApp for 5G O-RAN,Xingqi Wu; Junaid Farooq; Yuhui Wang; Juntao Chen,2025,Proceedings 2025 Workshop on Security and Privacy of Next-Generation Networks,10.14722/futureg.2025.23057,Yes,Other,Other,MEDIUM,LLM-empowered radio resource management delivered as an O-RAN xApp,NA,O-RAN radio resource management,LLM,NA,WEAK,WEAK,Placing an LLM inside a near-RT xApp raises a hard latency-feasibility question that only small or distilled models can answer.,https://doi.org/10.14722/futureg.2025.23057
L08,LLM-Driven Agentic AI Approach to Enhanced O-RAN Resilience in Next-Generation Networks,Xingqi Wu; Yuhui Wang; Junaid Farooq; Juntao Chen,2025,NA,10.36227/techrxiv.174284755.59863143/v1,Yes,Other,Other,HIGH,"LLM-driven agentic AI for O-RAN resilience, allocating resources across slices with distinct QoS requirements",NA,O-RAN resilience and slice resource allocation,LLM; Agent,NA,MODERATE,WEAK,O-RAN resilience plus slice resource allocation is precisely the intersection this PhD targets; the evaluation depth must be established before treating it as prior art.,https://doi.org/10.36227/techrxiv.174284755.59863143/v1
L09,Semantic Routing for Enhanced Performance of LLM-Assisted Intent-Based 5G Core Network Management and Orchestration,Dimitrios Michael Manias; Ali Chouman; Abdallah Shami,2024,GLOBECOM 2024 - 2024 IEEE Global Communications Conference,10.1109/globecom52923.2024.10901065,Yes,Other,Other,HIGH,Semantic routing to improve LLM-assisted intent-based 5G core management and orchestration,NA,5G core management and orchestration (intent-based),LLM,NA,WEAK,WEAK,Semantic routing addresses LLM scalability; verifying that translated intents achieve the intended service outcomes in a running core remains open.,https://doi.org/10.1109/globecom52923.2024.10901065
L10,Towards Intent-Based Network Management: Large Language Models for Intent Extraction in 5G Core Networks,Dimitrios Michael Manias; Ali Chouman; Abdallah Shami,2024,2024 20th International Conference on the Design of Reliable Communication Networks (DRCN),10.1109/drcn60692.2024.10539172,Yes,Other,Other,LOW,LLMs for intent extraction in 5G core networks towards intent-based network management,NA,5G core intent management,LLM,NA,WEAK,WEAK,Intent extraction is a prerequisite step; assurance of extracted intents is the open part.,https://doi.org/10.1109/drcn60692.2024.10539172
L11,LLMs for Network Engineering Automation: State of the Art and Research Directions,Steffen Fricke; Maxim Friesen; Jürgen Jasperneite,2026,NOMS 2026-2026 IEEE Network Operations and Management Symposium,10.1109/noms69089.2026.11668163,Yes,Other,Other,LOW,Survey of the state of the art and research directions for LLMs in network engineering automation,NA,Network engineering automation,LLM,NA,NA,WEAK,Most recent consolidated view of LLMs for network engineering automation.,https://doi.org/10.1109/noms69089.2026.11668163
L12,A Comprehensive Survey on LLM‐Based Network Management and Operations,Jibum Hong; Nguyen Van Tu; James Won‐Ki Hong,2025,International Journal of Network Management,10.1002/nem.70029,Yes,Other,Other,LOW,Comprehensive survey of LLM-based network management and operations,NA,Network management and operations,LLM,NA,NA,WEAK,Confirms that LLM-based network management is dominated by advisory and knowledge tasks.,https://doi.org/10.1002/nem.70029
L14,Intent‐Based Automated NFV Management Methods Using Large Language Models,Jibum Hong; Wonseok Choi; James Won‐Ki Hong,2026,International Journal of Network Management,10.1002/nem.70044,Yes,Other,Other,HIGH,Intent-based automated NFV management using LLMs to ensure service level objectives,NA,NFV management and orchestration,LLM; RAG,NA,WEAK,WEAK,Intent-based NFV management with SLO objectives is close to this PhD's target; the strength of its network-level evidence needs verification.,https://doi.org/10.1002/nem.70044
L15,Large Language Models for Telecom: Forthcoming Impact on the Industry,Ali Maatouk; Nicola Piovesan; Fadhel Ayed; Antonio De Domenico; Merouane Debbah,2025,IEEE Communications Magazine,10.1109/mcom.001.2300473,Yes,Other,Other,HIGH,Discussion of the forthcoming impact of LLMs on the telecom industry,NA,Telecommunications industry,LLM,NA,WEAK,WEAK,Frames industry expectations that the research literature has not yet met on closed-loop management.,https://doi.org/10.1109/mcom.001.2300473
L17,TeleQnA: A Benchmark Dataset to Assess Large Language Models Telecommunications Knowledge,Ali Maatouk; Fadhel Ayed; Nicola Piovesan; Antonio De Domenico; Merouane Debbah; Zhi-Quan Luo,2026,IEEE Network,10.1109/mnet.2025.3576035,Yes,Other,Other,LOW,TeleQnA benchmark for telecom knowledge of LLMs,NA,Telecommunications knowledge,LLM,NA,WEAK,STRONG,Telecom knowledge benchmarks are mature; management benchmarks are not.,https://doi.org/10.1109/mnet.2025.3576035
L20,OperAID: Benchmarking LLM Agents for Autonomous Kubernetes Fault Remediation,Ariel Góes de Castro; Konstantinos Vandikas; Simone Ferlin; Marco Chiesa; Christian Esteve Rothenberg,2026,2026 IEEE 12th International Conference on Network Softwarization (NetSoft),10.1109/netsoft70012.2026.11603505,Yes,Other,Other,HIGH,Benchmarking LLM agents for autonomous Kubernetes fault remediation on a 5G core,NA,5G core on Kubernetes (autonomous fault remediation),LLM; Agent,NA,WEAK,STRONG,The closest existing closed-loop 5G-core benchmark; it defines the boundary of what remains unbenchmarked.,https://doi.org/10.1109/netsoft70012.2026.11603505
L27,"Foundation Models and Large Language Models in Next Generation Networks: Comparison, Opportunities and Challenges",Abdelrahman Soliman; Ahmed Refaey Hussein,2025,NA,10.36227/techrxiv.176704922.27278347/v1,Yes,Other,Other,LOW,NA,NA,NA,LLM,NA,WEAK,WEAK,NA,https://doi.org/10.36227/techrxiv.176704922.27278347/v1
L29,WirelessGPT: A Generative Pre-Trained Multi-Task Learning Framework for Wireless Communication,Tingting Yang; Ping Zhang; Mengfan Zheng; Yuxuan Shi; Liwen Jing; Jianbo Huang; Nan Li,2025,IEEE Network,10.1109/mnet.2025.3579496,Yes,Other,Other,LOW,NA,NA,NA,NA,NA,WEAK,WEAK,NA,https://doi.org/10.1109/mnet.2025.3579496
L32,Telemetry and Agentic AI: Foundations for Optical Network Automation,Sergio Cruzes,2025,NA,10.36227/techrxiv.176539548.84734375/v1,Yes,Other,Other,HIGH,Telemetry and agentic AI as foundations for optical network automation,NA,Optical network automation,LLM; Agent,NA,WEAK,WEAK,Optical networks are ahead of 5G cores in telemetry-driven agentic automation - a useful template.,https://doi.org/10.36227/techrxiv.176539548.84734375/v1
L34,Tackling Ambiguity in User Intent for LLM-based Network Configuration Synthesis,Rajdeep Mondal; Nikolaj Bjorner; Todd Millstein; Alan Tang; George Varghese,2025,Proceedings of the 24th ACM Workshop on Hot Topics in Networks,10.1145/3772356.3772402,Yes,Other,Other,HIGH,Tackling ambiguity in user intent for LLM-based network configuration synthesis,NA,Network configuration synthesis,LLM; Agent,NA,WEAK,WEAK,Intent ambiguity is a real obstacle for autonomous network agents and is rarely handled in 5G/6G management work.,https://doi.org/10.1145/3772356.3772402
L37,LLM-Powered Troubleshooting for Telecommunication Network Operation and Management: A Fault-Lifecycle Survey,Zheng Li,2026,NA,10.2139/ssrn.7438214,Yes,Other,Other,HIGH,Survey of LLM-powered troubleshooting for telecom network operation and management (37 works screened),NA,Telecommunication network operation and management,LLM; Agent,NA,NA,WEAK,Confirms that telecom troubleshooting with LLMs is scattered across sub-domains without a unified problem formulation or benchmark.,https://doi.org/10.2139/ssrn.7438214
E04,QLoRA: Efficient Finetuning of Quantized LLMs,Tim Dettmers; Artidoro Pagnoni; Ari Holtzman; Luke Zettlemoyer,2023,Advances in Neural Information Processing Systems (NeurIPS),10.52202/075280-0441,Yes,Other,Other,LOW,"QLoRA makes fine-tuning accessible, but its effect on network-decision quality (as opposed to text quality) is unmeasured.","Quantised low-rank adaptation: 4-bit NormalFloat quantisation, double quantisation, paged optimisers, LoRA adapters",NA,LLM,NA,WEAK,WEAK,"QLoRA makes fine-tuning accessible, but its effect on network-decision quality (as opposed to text quality) is unmeasured.",https://doi.org/10.52202/075280-0441
E07,TinyBERT: Distilling BERT for Natural Language Understanding,Xiaoqi Jiao; Yichun Yin; Lifeng Shang; Xin Jiang; Xiao Chen; Linlin Li; Fang Wang; Qun Liu,2020,Findings of the Association for Computational Linguistics: EMNLP 2020,10.18653/v1/2020.findings-emnlp.372,Yes,Other,Other,LOW,"Provides the distillation template that network-domain work adapts, but the model-size versus network-decision-quality curve remains unmeasured.",Transformer distillation (two-stage: general + task-specific),NA,NA,NA,WEAK,WEAK,"Provides the distillation template that network-domain work adapts, but the model-size versus network-decision-quality curve remains unmeasured.",https://doi.org/10.18653/v1/2020.findings-emnlp.119
E15,IoV-BERT-IDS: Hybrid Network Intrusion Detection System in IoV Using Large Language Models,Mengyi Fu; Pan Wang; Minyao Liu; Ze Zhang; Xiaokang Zhou,2025,IEEE Transactions on Vehicular Technology,10.1109/TVT.2024.3402366,Yes,Other,Other,LOW,"Shows BERT-class models remain competitive for network security tasks, but does not address management decisions.",NA,NA,LLM,NA,WEAK,WEAK,"Shows BERT-class models remain competitive for network security tasks, but does not address management decisions.",https://doi.org/10.1109/TVT.2024.3402366
E18,Tele-LLMs: A Series of Specialized Large Language Models for Telecommunications,Ali Maatouk; Kenny Chirino Ampudia; Rex Ying; Leandros Tassiulas,2026,IEEE Access,10.1109/ACCESS.2026.3698683,Yes,Other,Other,LOW,NA,"Continual pre-training with FULL fine-tuning. PEFT/LoRA tested and REJECTED: LoRA r=64, alpha=32, dropout=0.1 - 'for smaller models LoRA can initially inject telecom knowledge but quickly saturates due to its limited capacity'; on LLaMA-3-8B 'the gradient norm of the LoRA method remained extremely low'. Full FT settings: AdamW, weight decay 0.1, max grad norm 1, cosine schedule to 10% of max LR, 10%-of-epoch linear warmup, batch 4M tokens, seq len 8192, max LR 1e-5 (LLaMA) / 2e-5 (Gemma), mixed precision + sample packing + block attention, 2 epochs, 5% SlimPajama mixed in. Instruction-tuning s",NA,LLM,NA,WEAK,STRONG,NA,https://ar5iv.labs.arxiv.org/html/2409.05314
F41,Intelligent O-RAN Traffic Steering for URLLC Through Deep Reinforcement Learning,NA,2023,IEEE International Conference on Communications (ICC),10.1109/ICC45041.2023.10278981,Yes,Flow/packet/traffic scheduling,Flow/packet/traffic scheduling,HIGH,"Intelligent traffic steering for URLLC in O-RAN, deciding which radio access node/interface carries each URLLC flow.",Deep reinforcement learning (xApp logic) evaluated on an O-RAN testbed.,O-RAN (traffic steering),DRL,DRL,MODERATE,WEAK,NA,https://doi.org/10.1109/ICC45041.2023.10278981
F42,Empowering Traffic Steering in 6G Open RAN With Deep Reinforcement Learning,NA,2024,IEEE Transactions on Wireless Communications,10.1109/TWC.2024.3396273,Yes,Flow/packet/traffic scheduling,Flow/packet/traffic scheduling,HIGH,Traffic steering in 6G Open RAN: learning policies that assign traffic to access paths under dynamic conditions.,Deep reinforcement learning for traffic steering.,O-RAN (traffic steering),DRL,DRL,WEAK,WEAK,NA,https://doi.org/10.1109/TWC.2024.3396273
F43,SFCPlanner: An Online SFC Planning Approach With SRv6 Flow Steering,NA,2024,IEEE Transactions on Network and Service Management,10.1109/TNSM.2024.3392945,Yes,Flow/packet/traffic scheduling,Flow/packet/traffic scheduling,MEDIUM,Online planning of service function chains with SRv6 flow steering: deciding chain composition and SRv6 segment lists online.,Online planning algorithm (heuristic) with SRv6 flow steering.,"Transport (SRv6, SFC)",NA,Combinatorial optimisation,WEAK,WEAK,NA,https://doi.org/10.1109/TNSM.2024.3392945
F44,Programmable and Customized Intelligence for Traffic Steering in 5G Networks Using Open RAN Architectures,NA,2023,IEEE Transactions on Mobile Computing,10.1109/TMC.2023.3266642,Yes,Flow/packet/traffic scheduling,Flow/packet/traffic scheduling,MEDIUM,Making traffic steering in 5G Open RAN programmable and customised so that operators can define their own steering logic.,Programmable control framework with custom intelligence modules.,O-RAN (traffic steering),No AI method,NA,MODERATE,WEAK,NA,https://doi.org/10.1109/TMC.2023.3272948
F45,Routing and Traffic Engineering in Software Defined Networks (survey),NA,2018,IEEE Communications Surveys & Tutorials,NA,Yes,Flow/packet/traffic scheduling,Flow/packet/traffic scheduling,LOW,Surveys routing and traffic-engineering approaches in software-defined networks.,N/A - survey,Transport (SDN routing/TE),NA,NA,NA,WEAK,Provides the classical TE taxonomy that AI-native TE must be positioned against.,https://doi.org/10.1109/COMST.2018.2869756
F46,Deep Reinforcement Learning for Traffic Engineering in Software-Defined Networks: A Survey,NA,2021,IEEE Communications Surveys & Tutorials,NA,Yes,Flow/packet/traffic scheduling,Flow/packet/traffic scheduling,MEDIUM,Surveys how deep reinforcement learning has been applied to traffic engineering in software-defined networks.,N/A - survey,Transport (DRL for TE),DRL,NA,NA,WEAK,Consolidates DRL-for-TE results and shows that most evaluations use custom simulators with limited realism.,https://doi.org/10.1109/COMST.2021.3068696
O31,Network Service Orchestration: A survey,NA,2019,Computer Communications,10.1016/j.comcom.2019.04.008,Yes,Network/service orchestration,Network/service orchestration,MEDIUM,"The survey states that cross-domain information exchange 'is not a standard' and that orchestrators are largely logically centralised over softwarised infrastructure - leaving open standardised cross-domain intent exchange, closed-loop SLA enforcement with measurable guarantees, and an AI control layer above MANO.",NA,End-to-end (multi-domain network services),NA,Surveyed,NA,MODERATE,"The survey states that cross-domain information exchange 'is not a standard' and that orchestrators are largely logically centralised over softwarised infrastructure - leaving open standardised cross-domain intent exchange, closed-loop SLA enforcement with measurable guarantees, and an AI control layer above MANO.",https://doi.org/10.1016/j.comcom.2019.04.008
O32,Knowledge-Defined Networking,NA,2017,ACM SIGCOMM Computer Communication Review,10.1145/3138808.3138810,Yes,Network/service orchestration,Network/service orchestration,HIGH,KDN is the conceptual ancestor of LLM/agent orchestrators; its unsolved problem - verifiable autonomous decision-making above the control plane - is exactly what current agentic orchestration still lacks.,NA,End-to-end (knowledge plane),LLM; Agent,ML + reasoning,STRONG,MODERATE,KDN is the conceptual ancestor of LLM/agent orchestrators; its unsolved problem - verifiable autonomous decision-making above the control plane - is exactly what current agentic orchestration still lacks.,https://doi.org/10.1145/3138808.3138810
O33,An Autonomous Network Orchestration Framework Integrating Large Language Models with Continual Reinforcement Learning,NA,2025,IEEE (venue to be confirmed; IEEE Xplore document 11103499),NA,Yes,Network/service orchestration,Network/service orchestration,HIGH,"The clearest published template for LLM-planner + RL-executor orchestration, and it exposes the open problems: quantitative benchmarking against external baselines, standard management-plane grounding, hallucination verification of planner decisions, and SLA-level scoring.",NA,Multi-domain (ground/air/space),LLM; Agent; DRL; RAG,Hybrid: LLM reasoning + D3QL RL agents + offline mathematical solvers to bootstrap exemplars,STRONG,MODERATE,"The clearest published template for LLM-planner + RL-executor orchestration, and it exposes the open problems: quantitative benchmarking against external baselines, standard management-plane grounding, hallucination verification of planner decisions, and SLA-level scoring.",https://doi.org/10.1109/MCOM.001.2400526
O34,AGILE-6G: Agentic AI for Autonomous Management of 6G Network/Application Services,NA,2025,IEEE (IEEE Xplore document 11318854),NA,Yes,Network/service orchestration,Network/service orchestration,HIGH,Agentic 6G service management is appearing in 2025-2026; SLA-level evaluation is the open part.,NA,6G network/application services,Agent,NA,WEAK,WEAK,Agentic 6G service management is appearing in 2025-2026; SLA-level evaluation is the open part.,https://ieeexplore.ieee.org/document/11318854
O35,Intelligent and Collaborative Orchestration of Network Slices,NA,2022,IEEE (IEEE Xplore document 9793722),10.1109/TSC.2022.3180831,Yes,Network/service orchestration,Network/service orchestration,MEDIUM,Collaborative slice orchestration across domains remains thinly evaluated.,NA,End-to-end slicing,NA,NA,WEAK,WEAK,Collaborative slice orchestration across domains remains thinly evaluated.,https://ieeexplore.ieee.org/abstract/document/9793722
O36,Machine Learning-Based Multi-Domain Actuation Orchestration in Support of End-to-End Service Quality-Assurance,NA,2022,IEEE (IEEE Xplore document 9983829),NA,Yes,Network/service orchestration,Network/service orchestration,HIGH,Directly targets the multi-domain assurance loop that AI-native orchestration must close; comparison against LLM-based approaches is an open opportunity.,NA,Multi-domain,LLM,NA,WEAK,WEAK,Directly targets the multi-domain assurance loop that AI-native orchestration must close; comparison against LLM-based approaches is an open opportunity.,https://ieeexplore.ieee.org/document/9983829
