paper_id,title,authors,year,venue,doi,peer_reviewed,protocol,network_generation,architecture,number_of_paths,path_type,scheduler_location,input_parameters,path_metrics,decision_type,packet_or_flow,reordering_handling,congestion_control,objective,algorithm,ml_method,simulator,testbed,traffic_model,baselines,metrics,main_results,limitations,research_gap,source_url
M30,GCLR: GNN-Based Cross Layer Optimization for Multipath TCP by Routing,Ting Zhu; Xiaohui Chen; Li Chen; Weidong Wang; Guo Wei,2020,IEEE Access,NA,Yes,MPTCP,4G/5G,"GCLR: GNN-based cross-layer optimisation for MPTCP by routing, i.e. choosing routes for subflows to improve MPTCP performance.",Multiple,Heterogeneous,Cross-layer: routing decision coupled to the MPTCP scheduler,"Network topology and link state, path performance history","RTT, loss, bandwidth","Route selection for subflows (path-level), affecting scheduling",Flow/path-level routing with packet-level scheduling beneath,Routing choices are used to reduce path asymmetry,MPTCP coupled CC,Improve MPTCP goodput by routing subflows over better path combinations,Graph neural network predicting path performance + routing optimisation,Yes (GNN),NA,Evaluation over network topologies (simulation/emulation),NR,Default routing for MPTCP,"Throughput/goodput, delay",Reports improved MPTCP performance from GNN-guided routing (exact figures not re-verified here).,"Optimises routing, not the scheduler itself; no network-level objective; GNN retraining requirements.",Shows learning can inform the path layer of multipath transport; combining that with a learned scheduler under orchestrator objectives is still open.,https://doi.org/10.1109/ACCESS.2020.3041819
M34,Multipath TCP Meets Reinforcement Learning: A Novel Energy-Efficient Scheduling Approach in Heterogeneous Wireless Networks,Pingping Dong; Rongcheng Shen; Qian Wang; Yuning Zuo; Yajing Li; Dian Zhang; Lianming Zhang; Wenjun Yang,2023,IEEE Wireless Communications,10.1109/mwc.013.2100658,Yes,MPTCP,4G/5G,Energy-efficient MPTCP scheduling using reinforcement learning in heterogeneous wireless networks.,Multiple,Heterogeneous wireless,Sender-side MPTCP scheduler with an RL agent,Per-path state plus energy/consumption model of the interfaces,"RTT, throughput, loss, energy per bit",Packet-to-subflow assignment minimising energy,Packet-level,NR,MPTCP coupled CC,Minimise energy consumption while maintaining acceptable performance,Reinforcement learning (exact variant per the paper),Yes (RL),NA,Evaluation in heterogeneous wireless settings,NR,Default MPTCP scheduler,"Energy consumption, throughput",Reports energy savings relative to the default scheduler (exact figures not re-verified here).,Energy-only objective at the transport layer; no network-level objective and no orchestrator interface.,Energy is a first-class objective for 6G; an orchestrator-level energy objective driving multipath selection is not addressed in this line of work.,https://doi.org/10.1109/MWC.001.2200486
M38,DAPS: Intelligent delay-aware packet scheduling for multipath transport,Nicolas Kuhn; Emmanuel Lochin; Ahlem Mifdaoui; Golam Sarwar; Olivier Mehani; Roksana Boreli,2014,2014 IEEE International Conference on Communications (ICC),10.1109/ICC.2014.6883488,Yes,MPTCP,4G,DAPS: delay-aware packet scheduling for multipath transport,NA,NA,Sender-side MPTCP scheduler,Per-path delay estimates and delivery-rate estimates,"Delay, delivery rate",Packet-to-subflow assignment minimising expected delivery delay,Packet-level,Delay-aware assignment reduces reordering,NA,Minimise delivery delay across paths,DAPS heuristic (compare estimated delivery times across subflows),No,NA,Linux MPTCP implementation,NA,Default lowest-RTT-first scheduler,NA,NA,Heuristic; no learning; transport-level objective only.,One of the earliest delay-aware MPTCP schedulers and a standard baseline for latency-oriented multipath work.,https://doi.org/10.1109/icc.2014.6883488
M42,An Improved MPQUIC Scheduler Based on Multi-Agent Reinforcement Learning,NA,2025,IEICE Transactions on Information and Systems,NA,Yes,MPQUIC,5G,Improved MPQUIC scheduler based on multi-agent reinforcement learning,NA,NA,Sender-side MPQUIC scheduler,NA,NA,Packet-to-path assignment learned by multiple agents,Packet-level,NA,NA,Improve MPQUIC performance on heterogeneous paths,NA,Yes (multi-agent RL),NA,NA,NA,NA,NA,NA,Retrieved at metadata level (IEICE Transactions on Information and Systems).,One of the few multi-agent RL MPQUIC schedulers; no network-level (orchestrator/slice) objective.,https://www.jstage.jst.go.jp/article/transinf/E108.D/8/E108.D_2024EDL8090/_article
M43,Deep Reinforcement Learning for Access Traffic Splitting in 5G Core System,NA,2024,IEEE (IEEE Xplore document 10826899),NA,Yes,ATSSS over 5G core,5G,Deep reinforcement learning for access traffic splitting decision-making in the 5G core,NA,NA,5G core (ATSSS decision function),NA,NA,Access traffic split ratio per flow,Flow-level splitting,NA,NA,NA,NA,Yes (DRL),NA,NA,NA,NA,NA,NA,Retrieved at metadata level (IEEE Xplore document 10826899).,This is the multipath/5G-core intersection: DRL decides splitting in the core. Coupling it to a higher-level orchestrator objective is not addressed.,https://ieeexplore.ieee.org/document/10826899
M44,Autonomous Access Traffic Splitting via 5G Core: Balancing QoS and ROI with Multi-Objective Reinforcement Learning,NA,2025,IEEE (IEEE Xplore document 11133925),NA,Yes,ATSSS over 5G core,5G,"Autonomous access traffic splitting via the 5G core, balancing QoS and return on investment with multi-objective reinforcement learning",NA,NA,5G core (ATSSS decision function),NA,NA,Access traffic split balancing QoS and ROI,Flow-level splitting,NA,NA,Balance QoS against return on investment,NA,Yes (multi-objective RL),NA,NA,NA,NA,NA,NA,Retrieved at metadata level (IEEE Xplore document 11133925).,"Brings a business objective (ROI) into multipath splitting - a step towards SLA/business-aware multipath control, still without an orchestrator or LLM in the loop.",https://ieeexplore.ieee.org/document/11133925
M45,A Reinforcement Learning-based Multipath Scheduling for Heterogeneous Wireless Networks,NA,2023,IEEE (IEEE Xplore document 10152217),NA,Yes,MPTCP,5G,Reinforcement-learning-based multipath scheduling for heterogeneous wireless networks,NA,NA,Sender-side scheduler with an RL agent,NA,NA,Packet-to-subflow assignment,Packet-level,NA,NA,NA,NA,Yes (RL),NA,NA,NA,NA,NA,NA,Retrieved at metadata level (IEEE Xplore document 10152217).,Reinforcement learning is now a standard tool for multipath scheduling; the missing ingredient is network-level objective provision.,https://ieeexplore.ieee.org/document/10152217
M46,PRISM: Proximal policy optimization with deep Reinforcement learning for Intelligent Scheduling in Multipath QUIC under heterogeneous and hybrid 5G/B5G-satellite networks,NA,2026,Computer Communications,NA,Yes,MPQUIC,5G/B5G + satellite (hybrid),PRISM: PPO-based intelligent scheduling for multipath QUIC in heterogeneous hybrid 5G/B5G-satellite networks,Multiple (terrestrial and satellite paths),Heterogeneous terrestrial + non-terrestrial,Sender-side MPQUIC scheduler,NA,NA,Packet-to-path assignment,Packet-level,NA,NA,NA,NA,Yes (PPO),NA,NA,NA,NA,NA,NA,"Very recent (2026, Computer Communications); evaluation depth not verified in this session.",Non-terrestrial plus terrestrial multipath with PPO is an emerging combination; integration with 6G orchestration and SLA objectives is open.,https://www.sciencedirect.com/science/article/abs/pii/S0140366426001131
M47,MobStream: A Reinforcement-Driven Mobile Streaming Methodology Over Multipath QUIC,NA,2026,Transactions on Emerging Telecommunications Technologies,10.1002/ett.70264,Yes,MPQUIC,5G,MobStream: reinforcement-driven mobile streaming over multipath QUIC,NA,NA,Sender-side MPQUIC scheduler,NA,NA,Scheduling decisions for streaming traffic,Packet/segment-level,NA,NA,Improve streaming QoE over multipath,NA,Yes (RL),NA,NA,NA,NA,NA,NA,Application-specific (streaming); retrieval at metadata level only.,Streaming QoE objectives for multipath schedulers are application-level; mapping network-level SLA objectives into the scheduler is unexplored here.,https://doi.org/10.1002/ett.70264
F54,LiveStream Meta-DAMS: Multipath Scheduler Using Hybrid Meta Reinforcement Learning,Authors per the paper,2025,IEEE Transactions on Cognitive Communications and Networking,10.1109/TCCN.2024.3502512,Yes,Multipath transport,5G,Hybrid meta-reinforcement-learning multipath scheduler for live video streaming.,Multiple,Heterogeneous,Sender-side multipath scheduler,NA,NA,Packet/segment scheduling across paths,Packet/segment-level,NA,NA,Improve live video streaming quality over multipath,NA,Hybrid meta-RL,NA,NA,NA,Benchmark schedulers per the paper,NA,Reports improvements of up to 24.02% and about two times compared with the benchmarks (the abstract does not disambiguate which benchmark yields which figure).,"Abstract-only retrieval; the publication year is genuinely ambiguous (DOI indicates 2025, Crossref issued 2026, IEEE publicationYear 2026).",Meta-RL for multipath scheduling shows adaptation is being pursued; application-level QoE objectives still do not connect to network-level SLA objectives.,https://doi.org/10.1109/TCCN.2025.3583193
M48,BEMA: A bandwidth-efficient multipath scheduling algorithm,Authors per the paper,NA,IEEE (venue to be confirmed),NA,Yes,Multipath transport,4G/5G,Bandwidth-efficient multipath scheduling (named BEMA in its own abstract).,NA,NA,Sender-side multipath scheduler,NA,NA,Packet/path scheduling for bandwidth efficiency,Packet-level,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abstract-only retrieval; venue/year/DOI were not resolved in this session. IMPORTANT: the protocol is named BEMA - 'BEWARE' is an unrelated IEEE ToN paper (10.1109/TNET.2011.2106140) and must not be conflated with this work.,A bandwidth-efficiency-oriented scheduler in the classical heuristic line; no learning and no network-level objective.,NA
M49,SATO: multipath scheduling (title and venue to be confirmed),Authors per the paper,NA,To be confirmed,NA,Yes,Multipath transport,4G/5G,Multipath scheduling work retrieved at abstract level only.,NA,NA,Sender-side scheduler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABSTRACT ONLY; even the simulator is not named in the retrievable record. The full bibliographic record could not be resolved in this session, so this entry is incomplete by construction and must be completed before citation.",Unverified; retained in the record set so it is not silently omitted.,NA
M50,Multipath TCP Meets Reinforcement Learning: A Novel Energy-Efficient Scheduling Approach in Heterogeneous Wireless Networks,Authors per the paper,2023,IEEE Wireless Communications,10.1109/MWC.013.2100658,Yes,MPTCP,4G/5G heterogeneous,Reinforcement-learning-based energy-efficient MPTCP scheduling across heterogeneous wireless networks.,NA,NA,Sender-side MPTCP scheduler,NA,NA,Flow-level PATH-SET selection (NOT per-packet scheduling),Flow/path-set level,NA,NA,Energy efficiency subject to performance,NA,Reinforcement learning,NA,NA,NA,NA,NA,NA,"ABSTRACT ONLY. Note that the action space is flow-level path-set selection rather than per-packet scheduling, which is how CMT-QA was extracted in error; do not describe it as a packet scheduler.",Energy is a first-class 6G objective; an orchestrator-level energy objective driving multipath path-set selection is not addressed here.,https://doi.org/10.1109/MWC.013.2100658
