paper_id,title,authors,year,venue,doi,peer_reviewed,network_task,base_model,model_size,fine_tuning,finetuning_method,dataset,training_data_size,pruning,pruning_method,quantization,distillation,peft,lora,qlora,training_hardware,training_cost,inference_latency,model_size_after,accuracy,network_performance,baseline,main_results,limitations,research_gap,code_available,source_url
E42,Edge-Deployable LLM Fine-Tuning on a Single GPU for Telecom Network Troubleshooting,NA,2026,arXiv preprint,NA,No,i_network_llm_finetuning :: Telecom troubleshooting dataset: QA pairs augmented with top-3 retrieved context documents,"unsloth/Qwen2.5-7B (7.61B params, 28 layers, 28 Q-heads / 4 KV-heads, GQA) and unsloth/DeepSeek-R1-0528-Qwen3-8B-unsloth-bnb-4bit (8.2B params, 36 layers, 32 Q / 8 KV heads). Cross-architecture validation with Llama-3.1-8B-Instruct. All support 131072-token context.","7.61B, 8.2B, 8B",Yes,"LoRA restricted to q_proj, k_proj, v_proj; two-stage SFT -> RFT (GRPO/TRL); Unsloth framework with 4-bit quantisation, FlashAttention2, XFormers, KV-cache acceleration, torch.compile/inductor. Profiling sweep over max sequence length, GPU-memory utilisation, LoRA rank, generation count.",Telecom troubleshooting dataset: QA pairs augmented with top-3 retrieved context documents,50 SME-validated seed pairs (SFT) + 500 synthetically generated RFT pairs; average token length of top-3 chunks ~16126 tokens,No,No,Yes,No,Yes,Yes,No,"1 x NVIDIA RTX A6000, 48 GB VRAM (edge-class); cross-checked against a 4xGH200 cluster",250 steps: 1k input tokens = 116 min; 5k = 173 min; 10k = 229 min; 10k with 4 generations at 0.6 util = 313 min. Llama-3.1-8B: 250 steps at 20k input tokens in ~29 min (~7x faster than Qwen2.5-7B).,'7-8B parameter models serve requests in seconds on the RTX A6000' - no millisecond figure reported,4-bit Qwen2.5-7B = 3.805 GB model weights,Safe operating envelope on 48 GB: 50k max sequence length at 0.7 GPU utilisation. Sequence length >=60k produced CUDA CannotAccessIllegalMemory errors on Qwen2.5-7B but NOT on Llama-3.1-8B (60k succeeded) - thresholds are not portable across model families. Batch size >=4 OOMs above 20k tokens on both. Input tokens >10k at 0.7 util OOMs at step 155/250. DeepSeek-R1 with hybrid tokenizer strategy achieved substantial gains in factual grounding and response consistency over Qwen2.5-7B.,Safe operating envelope on 48 GB: 50k max sequence length at 0.7 GPU utilisation. Sequence length >=60k produced CUDA CannotAccessIllegalMemory errors on Qwen2.5-7B but NOT on Llama-3.1-8B (60k succeeded) - thresholds are not portable across model families. Batch size >=4 OOMs above 20k tokens on both. Input tokens >10k at 0.7 util OOMs at step 155/250. DeepSeek-R1 with hybrid tokenizer strategy achieved substantial gains in factual grounding and response consistency over Qwen2.5-7B.,Qwen2.5-7B (non-reasoning); DeepSeek-R1-0528-Qwen3-8B (reasoning); Llama-3.1-8B-Instruct; configuration sweep as self-baseline,Safe operating envelope on 48 GB: 50k max sequence length at 0.7 GPU utilisation. Sequence length >=60k produced CUDA CannotAccessIllegalMemory errors on Qwen2.5-7B but NOT on Llama-3.1-8B (60k succeeded) - thresholds are not portable across model families. Batch size >=4 OOMs above 20k tokens on both. Input tokens >10k at 0.7 util OOMs at step 155/250. DeepSeek-R1 with hybrid tokenizer strategy achieved substantial gains in factual grounding and response consistency over Qwen2.5-7B.,"A profiling/characterisation study, not a quality study - reports memory/time envelopes and reward trajectories rather than network-decision accuracy. Preprint, 6 pages.",NA,Yes - not found,https://arxiv.org/abs/2607.02523
E43,LLM-Based Emulation of the Radio Resource Control Layer: Towards AI-Native RAN Protocols,NA,2026,arXiv preprint (submitted),NA,No,"i_network_llm_finetuning :: Proprietary multi-vendor 4G/5G RRC traces, formulated as segmentation-safe QA pairs preserving ASN.1 via linearisation before BPE","Llama-3 8B, Llama-3.1 8B, Llama-3.2 3B, Llama-3.2 1B","8B, 3B, 1B",Yes,"SFT + LoRA (adapters on attention projections AND MLP layers, alpha=2r, dropout=0). LoRA ranks r in {4,8,16} benchmarked against full fine-tuning. bf16, AdamW, token-level cross-entropy. LR 2e-5 (full FT) / 3e-4 (LoRA, cosine decay, 100-step warmup). Quantisation: weight-only INT4 (Q4_K_M, GGUF). Prompting: NoSys / RRC / RRC_constrain (schema-bounded).","Proprietary multi-vendor 4G/5G RRC traces, formulated as segmentation-safe QA pairs preserving ASN.1 via linearisation before BPE",30000 5G request-response pairs + 4800 QA turns from 4G/LTE sessions,No,No,Yes,No,Yes,Yes,No,"NR dataset: 2 x NVIDIA A100 80 GB (PCIe), 52-core CPU, 512 GB RAM; ~29 GB VRAM per inference thread (GGUF), ~110 GB across two cards for training. LTE dataset: 4 x NVIDIA GH200 nodes (Grace 72-core CPU + H100 96 GB HBM3), cluster of 1320 nodes, HPE Cray Slingshot-11; single-accelerator config = 1 x H100 (96 GB) inside one GH200.",Converged in ~8.4k steps; deliberately truncated to avoid 'unnecessary GPU hours',"Median latency to generate one DL RRC message (LTE, RRC_constrain): L-3 8B FP16 + LoRA-r16 = 3544 ms; L-3 8B Q4_K_M + LoRA-r16 = 2556 ms; L-3.1 8B FP16 = 3609 ms; L-3.1 8B Q4_K_M = 2581 ms; L-3.2 3B (full FT) FP16 = 2341 ms / Q4_K_M = 1733 ms; L-3.2 1B (full FT) FP16 = 2093 ms / Q4_K_M = 2025 ms. RRC (unconstrained): L-3 8B FP16 = 3418 ms vs Q4_K_M = 2519 ms. Edge vs datacentre with Llama-3.2-1B/INT4: Apple M2 Max 1.84 s vs 1xGH200(H100) 1.092 s; throughput 0.54 vs 0.92 req/s; energy ~7.7 mWh/message (M2, 15 W cap) vs ~0.200 Wh/message (GH200, 660 W cap).",INT4 Q4_K_M GGUF; ~29 GB VRAM per inference thread,"Median cosine similarity 0.97 for the 8B model = +61% relative over zero-shot. L-3 8B Q4_K_M RRC_constrain: ASN.1 pass median 1.000, similarity 0.992 median, SMC 0.993. Zero-shot baselines on NR dataset: Gemini 1.5-Flash 0.585, GPT-4o 0.496, Claude 3.5 Sonnet v2 0.768, GPT-o3-mini 0.705, original Llama 3-8B 0.600, RRC-LLM (fine-tuned) 0.970. Quantisation-latency trade-off: INT4 consistently reduces median latency by ~20-30% vs FP16 with small average reductions in ASN.1/SMC pass (a few percentage points, backbone-dependent); largest drops on the smallest backbone (1B). LoRA rank ablation (best validation loss, LTE): on 8B backbones r=16 matches or slightly surpasses full FT; on 3B/1B full FT remains advantageous; best-two gap delta ~6e-4. L-3.2 1B SMC: FP16 0.989 -> Q4_K_M 0.883.","Median cosine similarity 0.97 for the 8B model = +61% relative over zero-shot. L-3 8B Q4_K_M RRC_constrain: ASN.1 pass median 1.000, similarity 0.992 median, SMC 0.993. Zero-shot baselines on NR dataset: Gemini 1.5-Flash 0.585, GPT-4o 0.496, Claude 3.5 Sonnet v2 0.768, GPT-o3-mini 0.705, original Llama 3-8B 0.600, RRC-LLM (fine-tuned) 0.970. Quantisation-latency trade-off: INT4 consistently reduces median latency by ~20-30% vs FP16 with small average reductions in ASN.1/SMC pass (a few percentage points, backbone-dependent); largest drops on the smallest backbone (1B). LoRA rank ablation (best validation loss, LTE): on 8B backbones r=16 matches or slightly surpasses full FT; on 3B/1B full FT remains advantageous; best-two gap delta ~6e-4. L-3.2 1B SMC: FP16 0.989 -> Q4_K_M 0.883.","Zero-shot Gemini 1.5-Flash, GPT-4o, Claude 3.5 Sonnet v2, GPT-o3-mini, original Llama-3-8B; full FT vs LoRA r=4/8/16; FP16 vs INT4; Apple M2 Max vs GH200","Median cosine similarity 0.97 for the 8B model = +61% relative over zero-shot. L-3 8B Q4_K_M RRC_constrain: ASN.1 pass median 1.000, similarity 0.992 median, SMC 0.993. Zero-shot baselines on NR dataset: Gemini 1.5-Flash 0.585, GPT-4o 0.496, Claude 3.5 Sonnet v2 0.768, GPT-o3-mini 0.705, original Llama 3-8B 0.600, RRC-LLM (fine-tuned) 0.970. Quantisation-latency trade-off: INT4 consistently reduces median latency by ~20-30% vs FP16 with small average reductions in ASN.1/SMC pass (a few percentage points, backbone-dependent); largest drops on the smallest backbone (1B). LoRA rank ablation (best validation loss, LTE): on 8B backbones r=16 matches or slightly surpasses full FT; on 3B/1B full FT remains advantageous; best-two gap delta ~6e-4. L-3.2 1B SMC: FP16 0.989 -> Q4_K_M 0.883.","Proprietary dataset, not reproducible. Latency in the 1-3.6 second range is far above real RRC control-plane budgets; sub-100 ms is explicitly framed as future work. Preprint.",NA,Yes - not found (corpus is proprietary multi-vendor operator traces),https://arxiv.org/abs/2505.16821
E44,Network Self-Configuration Based on Fine-Tuned Small Language Models,NA,2026,IEEE Open Journal of the Communications Society,10.1109/OJCOMS.2026.3695460,NA,i_network_llm_finetuning :: NA,NA,NA,Yes,Fine-tuned Small Language Model; architecture named 'SLM_netconfig',NA,NA,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,VERIFICATION GAP - IEEE Xplore returned HTTP 502 throughout the research window. Bibliographic data confirmed via Crossref; all experimental detail unverified. High-relevance candidate: retrieve full text directly.,NA,NA,Crossref record 10.1109/OJCOMS.2026.3695460
E45,"Lightweight LLMs for 3GPP Specifications: Fine-Tuning, Retrieval-Augmented Generation and Quantization",NA,2025,IEEE International Conference on Network Softwarization (NetSoft),10.1109/NETSOFT64993.2025.11080581,NA,i_network_llm_finetuning :: TeleQnA + TSpec-LLM (repository of processed 3GPP documents),"Llama 3.2 (3B parameters), quantised from 16-bit to 4 bits",3B,Yes,Quantisation (16-bit -> 4-bit) + fine-tuning + RAG,TeleQnA + TSpec-LLM (repository of processed 3GPP documents),10000 telecom questions (TeleQnA) + TSpec-LLM 3GPP document corpus,No,No,Yes,No,No,No,No,NA,NA,NA,4-bit quantised Llama 3.2 3B (exact footprint not verified),'Improve accuracy without heavy resource reliance' - exact accuracy figures not verified,'Improve accuracy without heavy resource reliance' - exact accuracy figures not verified,prior resource-intensive or proprietary solutions (unspecified at abstract level),'Improve accuracy without heavy resource reliance' - exact accuracy figures not verified,"Abstract-level verification only; numeric results and hardware not confirmed. Task is telecom QA (3GPP standards comprehension), not network management decisions. NOTE: this is the only peer-reviewed paper found at a target venue (IEEE NetSoft) combining quantization + fine-tuning + RAG for telecom - full-text retrieval is a priority.",NA,Yes - Yes per the abstract - 'Shared via GitHub repositories [1]' (exact URL not captured),https://bv.fapesp.br/en/publicacao/284975/
E46,Toward Autonomous O-RAN: A Multi-Scale Agentic AI Framework for Real-Time Network Control,NA,2026,arXiv preprint,NA,No,"i_network_llm_finetuning :: Live 5G testbed based on srsRAN with four active slices; E2SM-KPM telemetry (5-second sliding window at Near-RT, 1-minute summaries at Non-RT). Plus two IEEE DataPort IQ datasets: vehicular technology recognition (LTE, 5G NR, Wi-Fi, ITS-G5, C-V2X) and LTE/NR interference.","Nvidia Nemotron (LLM rApp, Non-RT); GPT-OSS (SLM xApp, Near-RT); Wireless Physical-layer Foundation Model (WPFM) dApp (RT)",NA,Yes,"Deployment-scale separation, NOT compression. Different-sized models assigned to different control loops. LLM translates operator intent to A1 policy via an MCP tool interface; SLM performs PRB allocation via E2SM-RC; WPFM is fine-tuned on demand.","Live 5G testbed based on srsRAN with four active slices; E2SM-KPM telemetry (5-second sliding window at Near-RT, 1-minute summaries at Non-RT). Plus two IEEE DataPort IQ datasets: vehicular technology recognition (LTE, 5G NR, Wi-Fi, ITS-G5, C-V2X) and LTE/NR interference.",NA,No,No,No,No,No,No,No,LLM: H200 GPU. SLM: RTX 5090 GPU. WPFM: Nvidia Jetson Xavier NX.,WPFM fine-tuning: first epoch ~17 s reaching 58.92% (technology recognition) / 82.28% (interference detection); fully fine-tuned after ~340 s,"WPFM (RT, Xavier NX): 0.847 +/- 0.04 ms. SLM (Near-RT, RTX 5090): 793 +/- 3 ms. LLM (Non-RT, H200): 9364 +/- 59 ms.",NA,"Agentic (SLM+LLM supervision) vs SLM-only: average VIP throughput +6% after promoting slice 4 to VIP, while preserving average 22 ms latency for the latency-sensitive slice; SLM-only alone reaches only 10.5 Mbps VIP throughput and trades away latency protection. Agentic beats static allocation and a heuristic controller on throughput, delay and resource efficiency. Table I explicitly frames the latency/cost ladder (Low/Medium/High) as scaling proportionally with control domain.","Agentic (SLM+LLM supervision) vs SLM-only: average VIP throughput +6% after promoting slice 4 to VIP, while preserving average 22 ms latency for the latency-sensitive slice; SLM-only alone reaches only 10.5 Mbps VIP throughput and trades away latency protection. Agentic beats static allocation and a heuristic controller on throughput, delay and resource efficiency. Table I explicitly frames the latency/cost ladder (Low/Medium/High) as scaling proportionally with control domain.",Static equal PRB allocation; heuristic slice controller; SLM-only controller with fixed objectives,"Agentic (SLM+LLM supervision) vs SLM-only: average VIP throughput +6% after promoting slice 4 to VIP, while preserving average 22 ms latency for the latency-sensitive slice; SLM-only alone reaches only 10.5 Mbps VIP throughput and trades away latency protection. Agentic beats static allocation and a heuristic controller on throughput, delay and resource efficiency. Table I explicitly frames the latency/cost ladder (Low/Medium/High) as scaling proportionally with control domain.","Proof-of-concept on one live testbed; no fine-tuning hyperparameters, no model parameter counts, no training hardware for the SLM itself. The RT dApp API and RT RIC are not yet standardised in O-RAN, so the architecture is provisional. Preprint.",NA,Yes - not found for this paper; referenced WPFM and datasets are public (IEEE DataPort links given in the paper),https://arxiv.org/html/2602.14117v2
E47,"Telecom Foundation Models: Applications, Challenges, and Future Trends",NA,2024,arXiv preprint,NA,No,i_network_llm_finetuning :: NA,not applicable (conceptual/survey paper),NA,NA,"Conceptual process for developing Telecom Foundation Models (TFMs) and orchestrating specialised TFMs for network configuration, operation and maintenance",NA,NA,No,No,No,No,No,No,No,NA,NA,NA,NA,None (position/survey paper),None (position/survey paper),NA,None (position/survey paper),No experiments. Useful only for motivation/framing and citation-chaining.,NA,NA,https://arxiv.org/abs/2408.03964
E48,"Think Less, Label Better: Multi-Stage Domain-Grounded Synthetic Data Generation for Telecom Troubleshooting",NA,2026,arXiv preprint (ICC 2026 submission per author comment),NA,No,i_network_llm_finetuning :: Synthetic RAN troubleshooting QA pairs grounded in structured domain knowledge,Retriever + base generator + refinement model pipeline (specific checkpoints not verified),NA,Yes,"Fully automated retrieval-augmented synthetic QA generation grounded in a domain knowledge graph; RAGAS-based scoring filters low-quality samples, producing a dataset for reinforcement fine-tuning (RFT)",Synthetic RAN troubleshooting QA pairs grounded in structured domain knowledge,NA,No,No,No,No,No,No,No,NA,NA,NA,NA,"Produces 'complex, context-rich troubleshooting solution plans without human intervention' - quantitative gains not verified","Produces 'complex, context-rich troubleshooting solution plans without human intervention' - quantitative gains not verified",NA,"Produces 'complex, context-rich troubleshooting solution plans without human intervention' - quantitative gains not verified","A data-generation paper, not a compression or decision-quality paper. Relevant as the dataset provenance for the Ericsson MAS and edge-profiling papers. Verification is abstract-level only.",NA,Yes - not found,https://arxiv.org/abs/2509.25736
E49,Understanding Telecom Language Through Large Language Models,NA,2023,IEEE Global Communications Conference (GLOBECOM),NA,NA,"i_network_llm_finetuning :: 3GPP technical documents (tdocs), working groups RAN1-5, SA1-6, CT1/3/4/6",BERT-Base (uncased) 110M; DistilBERT 66M; RoBERTa 125M; GPT-2 smallest 124M,66M-125M,Yes,Full single-task single-label fine-tuning with added linear + SoftMax classification head; cross-entropy; batch 32; lr 2e-5; L2 0.01,"3GPP technical documents (tdocs), working groups RAN1-5, SA1-6, CT1/3/4/6",Train = tdocs 2009/2010-2019; Test = tdocs 2020-April 2023; text segmented at 200 words,No,No,No,No,No,No,No,NA,NA,NA,"not applicable (DistilBERT 66M used as an external comparison point, not produced by the authors)","BERT and RoBERTa 84.6% accuracy; GPT-2 83%; DistilBERT approximately equal with ~50% fewer parameters. Per-combination BERT: RAN1/SA1/CT1 98.05%; RAN1,2,3 only 88.90%; RAN1,2,3+SA1+CT1 88.26%; full 15-WG 84.35%.","BERT and RoBERTa 84.6% accuracy; GPT-2 83%; DistilBERT approximately equal with ~50% fewer parameters. Per-combination BERT: RAN1/SA1/CT1 98.05%; RAN1,2,3 only 88.90%; RAN1,2,3+SA1+CT1 88.26%; full 15-WG 84.35%.",BERT vs DistilBERT vs RoBERTa vs GPT-2 cross-model comparison; prior BERT-like telecom QA model on 347 documents / 2021 Q&A pairs,"BERT and RoBERTa 84.6% accuracy; GPT-2 83%; DistilBERT approximately equal with ~50% fewer parameters. Per-combination BERT: RAN1/SA1/CT1 98.05%; RAN1,2,3 only 88.90%; RAN1,2,3+SA1+CT1 88.26%; full 15-WG 84.35%.","Identified constraint: accuracy depends strongly on working-group combination and on text-segment length. DistilBERT is a comparison point, not a compression result produced by the authors. Earliest telecom LLM fine-tuning recipe found (2023).",NA,NA,https://ar5iv.labs.arxiv.org/html/2306.07933
E50,SPEC5G: A Dataset for 5G Cellular Network Protocol Analysis,NA,2023,Findings of the Association for Computational Linguistics: IJCNLP-AACL,10.18653/v1/2023.findings-ijcnlp.3,NA,"i_network_llm_finetuning :: SPEC5G - 3GPP specification-derived dataset filtered to remove tables/symbols, for 5G protocol analysis",NA,NA,NA,NA,"SPEC5G - 3GPP specification-derived dataset filtered to remove tables/symbols, for 5G protocol analysis",NA,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,VERIFICATION GAP - only the Crossref record was retrieved. Include as a dataset citation only.,NA,NA,Crossref record 10.18653/v1/2023.findings-ijcnlp.3
E51,TelecomGPT-R1: A Unified Open-Source Reasoner for the Telecom Domain,NA,2026,arXiv preprint,NA,No,"i_network_llm_finetuning :: 67,427-example SFT corpus on four reasoning axes (protocol, knowledge, modeling, fault), from axis-matched public web sources + axis-specific chain-of-thought generation + prefix-continuation self-validation",Qwen3.5-9B,9B,Yes,Two-stage: LoRA-SFT (r=128) then GRPO/DAPO reinforcement post-training,"67,427-example SFT corpus on four reasoning axes (protocol, knowledge, modeling, fault), from axis-matched public web sources + axis-specific chain-of-thought generation + prefix-continuation self-validation",67427 examples,No,No,No,No,Yes,Yes,No,8 x H200,NA,NA,NA,TelecomGPT-R1-9B ranks top-performing on the GSMA open telco leaderboard; 82.1% GSMA seven-axis mean,TelecomGPT-R1-9B ranks top-performing on the GSMA open telco leaderboard; 82.1% GSMA seven-axis mean,GSMA open telco leaderboard entries,TelecomGPT-R1-9B ranks top-performing on the GSMA open telco leaderboard; 82.1% GSMA seven-axis mean,"Preprint. Direct follow-up to TelecomGPT by an overlapping author group, moving from QLoRA-SFT to RL post-training. Evaluated on the GSMA leaderboard (knowledge/reasoning), NOT on network KPIs.",NA,Yes - release implied; URL not verified,https://arxiv.org/abs/2608.26126
